Title,IMDb ID
Vertical Limit,tt0190865
Ghostbusters II,tt0097428
The Patriot,tt0187393
The Sorcerer's Apprentice,tt0963966
Just Go with It,tt1564367
The Expendables 3,tt2333784
Dirty Dancing,tt0092890
Creed II,tt6343314
Public Enemies,tt1152836
The Bourne Identity,tt0258463
Disclosure,tt0109635
"Crouching Tiger, Hidden Dragon",tt0190332
Pulp Fiction,tt0110912
The Aviator,tt0338751
Braveheart,tt0112573
Into the Woods,tt2180411
Bedtime Stories,tt0960731
Arrival,tt2543164
Miss Congeniality,tt0212346
Entrapment,tt0137494
Ace Ventura: When Nature Calls,tt0112281
End of Days,tt0146675
Bridget Jones's Baby,tt1473832
Fury,tt2713180
Battle Los Angeles,tt1217613
Australia,tt0455824
Due Date,tt1231583
Master and Commander: The Far Side of the World,tt0311113
A Series of Unfortunate Events,tt0339291
The Little Mermaid,tt0097757
Nice View,tt15783462
District 9,tt1136608
Moonraker,tt0079574
The Others,tt0230600
Horrible Bosses,tt1499658
Trolls Band Together,tt14362112
Us and Them,tt8033592
Red Dragon,tt0289765
Tomorrowland,tt1964418
Me Before You,tt2674426
Safe House,tt1599348
S.W.A.T.,tt0257076
