Title,IMDb ID
 High Fidelity,tt0146882
 Pirate Radio,tt1131729
 Turning Red,tt8097030
 Begin Again,tt1980929
 Eurovision Song Contest: The Story of Fire Saga,tt8580274
 The Meaning of Life,tt0085959
 Pinocchio,tt0032910
 Brother Bear,tt0328880
 Peter Pan,tt0046183
 Cinderella,tt0042332
 Guillermo del Toro's Pinocchio,tt1488589
 Sleeping Beauty,tt0053285
 Lady and the Tramp,tt0048280
 Alice in Wonderland,tt0043274
 The Lorax,tt1482459
" tick, tick",tt8721424
 Home,tt2224026
 Self/less,tt2140379
 The Commuter,tt1590193
 K-PAX,tt0272152
 The Kids Are All Right,tt0842926
 Todo sobre mi madre,tt0185125
 Good Bye Lenin!,tt0301357
 My Name Is Khan,tt1188996
 The Switch,tt0889573
 Manhattan,tt0079522
 The Bounty Hunter,tt1038919
 Collateral Beauty,tt4682786
 Hable con ella,tt0287467
 The Best Exotic Marigold Hotel,tt1412386
 Rocky V,tt0100507
 Rocky III,tt0084602
 Creed II,tt6343314
 Turbo,tt1860353
 White Men Can't Jump,tt0105812
 Bend It Like Beckham,tt0286499
 Blades of Glory,tt0445934
 Never Back Down,tt1023111
 Ralph Breaks the Internet,tt5848272
 17 Again,tt0974661
 Any Given Sunday,tt0146838
 The Call,tt1911644
 Get the Gringo,tt1567609
 Vantage Point,tt0443274
 Fahrenheit 9/11,tt0361596
 Behind Enemy Lines,tt0159273
 Three Kings,tt0120188
 The Promise,tt4776998
 Australia,tt0455824
 Hannibal Rising,tt0367959
 The Huntsman: Winter's War,tt2381991
 The Bridge on the River Kwai,tt0050212
 The Lucky One,tt1327194
 Ip Man,tt1220719
 The Monuments Men,tt2177771
 The Last Stand,tt1549920
 The Devil's Rejects,tt0395584
 Wild Wild West,tt0120891
 Maverick,tt0110478
 The Quick and the Dead,tt0114214
 The Highwaymen,tt1860242
 Zack Snyder's Justice League,tt12361974
 Animal,tt13751694
 Avatar: The Way of Water,tt1630029
 King Kong,tt0360717
 RRR (Rise Roar Revolt),tt8178634
 Pearl Harbor,tt0213149
 Alexander,tt0346491
 John Wick: Chapter 4,tt10366206
 Pirates of the Caribbean: At World's End,tt0449088
 K,tt10698680
 Transformers: Age of Extinction,tt2109248
 Mission: Impossible - Dead Reckoning Part One,tt9603212
 Ben-Hur,tt0052618
 Barry Lyndon,tt0072684
 Troy,tt0332452
 No Time to Die,tt2382320
 Akira,tt0094625
 Tenkû no shiro Rapyuta,tt0092067
 Incredibles 2,tt3606756
 Kaze no tani no Naushika,tt0087544
 Beowulf,tt0442933
 The Mitchells vs the Machines,tt7979580
 Sing,tt3470600
 Enchanted,tt0461770
 Malcolm X,tt0104797
 The Aviator,tt0338751
 Napoleon,tt13287846
 House of Gucci,tt11214590
 American Gangster,tt0765429
 Babylon,tt10640346
 PK,tt2338151
 Guardians of the Galaxy Vol,tt6791350
 Inherent Vice,tt1791528
 Triangle of Sadness,tt7322224
 Bad Boys II,tt0172156
 Funny People,tt1201167
 Sex and the City,tt1000774
 Hook,tt0102057
 Poor Things,tt14230458
 Kingsman: The Golden Circle,tt4649466
 True Lies,tt0111503
 Everything Everywhere All at Once,tt6710474
 Glass Onion,tt11564570
 As Good as It Gets,tt0119822
 Casino,tt0112641
 Dogville,tt0276919
 Gangs of New York,tt0217505
 The Godfather Part III,tt0099674
 The Girl with the Dragon Tattoo,tt1568346
 Harry Potter and the Half-Blood Prince,tt0417741
 The Chronicles of Narnia: Prince Caspian,tt0499448
