Movie Year,Movie Runtime,Domestic Gross,IMDB Rating,RT Rating,Metacritic Rating,IMDB Vote Count,Release Month,Season,is_holiday_release,director_popularity,is_english,actor_popularity,writer_popularity,Language_Count,Country_Count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
2012,115,292324737,5.6,49,52,268625,11,Fall,1,4,1,16,3,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,150,358995815,7.9,82,64,416650,5,Spring,0,4,1,19,21,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,148,292587330,8.8,87,74,2645456,7,Summer,0,12,1,22,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,149,402111870,6.0,19,35,438386,6,Summer,0,13,1,14,19,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,121,407774549,7.4,90,73,912982,5,Spring,0,9,1,21,16,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,141,412845172,7.3,93,76,713792,6,Summer,0,3,1,14,5,10,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,128,1463924,6.9,64,68,3211,2,Winter,0,2,0,7,4,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,145,306169268,7.0,68,59,620895,7,Summer,0,10,1,31,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,132,234037575,7.2,74,66,521450,11,Fall,1,8,1,9,6,2,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,105,210460015,8.4,97,81,635840,11,Fall,1,3,1,7,4,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,142,250105651,7.9,90,82,720330,6,Summer,0,2,1,26,11,3,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,93,322719944,6.1,41,58,340993,5,Spring,0,3,1,29,8,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,123,320314960,6.6,72,58,299251,12,Winter,1,5,1,33,9,1,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,115,439454989,7.9,99,92,449151,6,Summer,0,27,1,8,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
